rule_id,rule_expr,direction,cluster_id,activation_conditions,preferred_regime,avoid_regime,volatility_preference,trend_preference,time_preference,expected_holding_profile,confidence,sample_size,avg_return_2h,precision_pct,status_tags,discovery_decision
EX_OR_ED_obs_return_pct_gap_to_best_entry_gte_-5.8771_E_direction_confidence_gte_0.5648,((obs_return_pct - gap_to_best_entry) >= -5.877 OR direction_confidence >= 0.5648),long,bull_trend,((obs_return_pct - gap_to_best_entry) >= -5.877 OR direction_confidence >= 0.5648),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,4.6456,66.67,mined_pool,
EX_OR_ED_obs_return_pct_gap_to_best_entry_gte_-5.8771_E_direction_confidence_gte_0.6736,((obs_return_pct - gap_to_best_entry) >= -5.877 OR direction_confidence >= 0.6736),long,bull_trend,((obs_return_pct - gap_to_best_entry) >= -5.877 OR direction_confidence >= 0.6736),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,4.6456,66.67,mined_pool,
EX_OR_E_pattern_confidence_lte_0.452425_E_pattern_confidence_lte_0.474463,(pattern_confidence <= 0.4524 OR pattern_confidence <= 0.4745),long,bull_trend,(pattern_confidence <= 0.4524 OR pattern_confidence <= 0.4745),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,4.0571,47.62,mined_pool,
EX_OR_E_pattern_confidence_lte_0.452425_E_obs_body_pct_gte_9.53875,(pattern_confidence <= 0.4524 OR obs_body_pct >= 9.539),long,bull_trend,(pattern_confidence <= 0.4524 OR obs_body_pct >= 9.539),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,2.7011,61.9,mined_pool,
EX_OR_E_pattern_confidence_lte_0.452425_E_obs_body_pct_gte_11.448538,(pattern_confidence <= 0.4524 OR obs_body_pct >= 11.45),long,bull_trend,(pattern_confidence <= 0.4524 OR obs_body_pct >= 11.45),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,4.0571,57.14,mined_pool,
EX_OR_E_pattern_confidence_lte_0.452425_E_direction_confidence_gte_0.5648,(pattern_confidence <= 0.4524 OR direction_confidence >= 0.5648),long,bull_trend,(pattern_confidence <= 0.4524 OR direction_confidence >= 0.5648),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,4.0571,61.9,mined_pool,
EX_OR_E_pattern_confidence_lte_0.452425_E_direction_confidence_gte_0.6736,(pattern_confidence <= 0.4524 OR direction_confidence >= 0.6736),long,bull_trend,(pattern_confidence <= 0.4524 OR direction_confidence >= 0.6736),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,4.0571,61.9,mined_pool,
EX_OR_E_pattern_confidence_lte_0.474463_E_obs_body_pct_gte_9.53875,(pattern_confidence <= 0.4745 OR obs_body_pct >= 9.539),long,bull_trend,(pattern_confidence <= 0.4745 OR obs_body_pct >= 9.539),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,2.7011,61.9,mined_pool,
EX_OR_E_pattern_confidence_lte_0.474463_E_obs_body_pct_gte_11.448538,(pattern_confidence <= 0.4745 OR obs_body_pct >= 11.45),long,bull_trend,(pattern_confidence <= 0.4745 OR obs_body_pct >= 11.45),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,4.0571,57.14,mined_pool,
EX_OR_E_pattern_confidence_lte_0.474463_E_direction_confidence_gte_0.5648,(pattern_confidence <= 0.4745 OR direction_confidence >= 0.5648),long,bull_trend,(pattern_confidence <= 0.4745 OR direction_confidence >= 0.5648),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,4.0571,61.9,mined_pool,
EX_OR_E_pattern_confidence_lte_0.474463_E_direction_confidence_gte_0.6736,(pattern_confidence <= 0.4745 OR direction_confidence >= 0.6736),long,bull_trend,(pattern_confidence <= 0.4745 OR direction_confidence >= 0.6736),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,4.0571,61.9,mined_pool,
EX_OR_E_obs_body_pct_gte_9.53875_E_obs_body_pct_gte_11.448538,(obs_body_pct >= 9.539 OR obs_body_pct >= 11.45),long,mixed,(obs_body_pct >= 9.539 OR obs_body_pct >= 11.45),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,2.9846,33.33,mined_pool,
EX_OR_E_obs_body_pct_gte_9.53875_E_direction_confidence_gte_0.5648,(obs_body_pct >= 9.539 OR direction_confidence >= 0.5648),long,bull_trend,(obs_body_pct >= 9.539 OR direction_confidence >= 0.5648),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,4.3405,66.67,mined_pool,
EX_OR_E_obs_body_pct_gte_9.53875_E_direction_confidence_gte_0.6736,(obs_body_pct >= 9.539 OR direction_confidence >= 0.6736),long,bull_trend,(obs_body_pct >= 9.539 OR direction_confidence >= 0.6736),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,4.3405,66.67,mined_pool,
EX_OR_E_obs_body_pct_gte_11.448538_E_direction_confidence_gte_0.5648,(obs_body_pct >= 11.45 OR direction_confidence >= 0.5648),long,bull_trend,(obs_body_pct >= 11.45 OR direction_confidence >= 0.5648),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,4.3405,66.67,mined_pool,
EX_OR_E_obs_body_pct_gte_11.448538_E_direction_confidence_gte_0.6736,(obs_body_pct >= 11.45 OR direction_confidence >= 0.6736),long,bull_trend,(obs_body_pct >= 11.45 OR direction_confidence >= 0.6736),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,4.3405,66.67,mined_pool,
EX_OR_E_direction_confidence_gte_0.5648_E_direction_confidence_gte_0.6736,(direction_confidence >= 0.5648 OR direction_confidence >= 0.6736),long,bull_trend,(direction_confidence >= 0.5648 OR direction_confidence >= 0.6736),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,4.3405,57.14,mined_pool,
EX_OR_E_rank_obs_return_top5_gte_0.125_E_rank_obs_return_top5_gte_0.25,(rank_obs_return_top5 >= 0.125 OR rank_obs_return_top5 >= 0.25),long,strong_breakout,(rank_obs_return_top5 >= 0.125 OR rank_obs_return_top5 >= 0.25),bull,sideway,low_volatility,bull,asia,2h_breakout_follow,high,21,5.8078,61.9,mined_pool|rank_only,
EX_NOT_E_direction_confidence_gte_0.7824,NOT (direction_confidence >= 0.7824),long,bull_trend,NOT (direction_confidence >= 0.7824),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,2.9846,52.38,mined_pool,
EX_NOT_E_direction_confidence_gte_0.8912,NOT (direction_confidence >= 0.8912),long,bull_trend,NOT (direction_confidence >= 0.8912),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,2.9846,57.14,mined_pool,
EX_NOT_E_direction_confidence_gte_1.0,NOT (direction_confidence >= 1),short,bull_trend,NOT (direction_confidence >= 1),bear,bull,low_volatility,bear,us,2h_fixed,medium,24,-2.4452,70.83,mined_pool,
EX_NOT_E_obs_low_pct_gte_-2.914012,NOT (obs_low_pct >= -2.914),long,reversal,NOT (obs_low_pct >= -2.914),bull,sideway,low_volatility,bull,asia,2h_reversal_bounce,high,21,2.9846,52.38,mined_pool,
EX_NOT_E_execution_score_gte_-0.27795,NOT (execution_score >= -0.2779),long,execution_aligned,NOT (execution_score >= -0.2779),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,4.3405,57.14,mined_pool,
EX_NOT_ED_obs_return_pct_gap_to_best_entry_gte_-5.8771,NOT ((obs_return_pct - gap_to_best_entry) >= -5.877),long,strong_breakout,NOT ((obs_return_pct - gap_to_best_entry) >= -5.877),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,2.9846,47.62,mined_pool,
EX_NOT_E_pattern_confidence_lte_0.452425,NOT (pattern_confidence <= 0.4524),long,bull_trend,NOT (pattern_confidence <= 0.4524),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,4.3405,57.14,mined_pool,
EX_NOT_E_pattern_confidence_lte_0.474463,NOT (pattern_confidence <= 0.4745),long,bull_trend,NOT (pattern_confidence <= 0.4745),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,4.3405,57.14,mined_pool,
EX_NOT_E_obs_body_pct_gte_9.53875,NOT (obs_body_pct >= 9.539),long,mixed,NOT (obs_body_pct >= 9.539),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,5.2955,80.95,mined_pool,
