rule_id,rule_expr,direction,cluster_id,expr_clusters,empirical_cluster,cluster_members,best_regime,volatility_preference,avg_return_2h,trade_count,status_tags
EX_AND_E_direction_confidence_gte_0.8912_E_obs_body_pct_gte_9.53875,(direction_confidence >= 0.8912 AND obs_body_pct >= 9.539),long,bull_trend,bull_trend,bull_trend,bull_trend,bull,low_volatility,4.3405,21,mined_pool
EX_AND_E_direction_confidence_gte_0.8912_E_obs_body_pct_gte_11.448538,(direction_confidence >= 0.8912 AND obs_body_pct >= 11.45),long,bull_trend,bull_trend,bull_trend,bull_trend,bull,low_volatility,4.3405,21,mined_pool
EX_AND_E_direction_confidence_gte_0.8912_E_direction_confidence_gte_0.5648,(direction_confidence >= 0.8912 AND direction_confidence >= 0.5648),long,bull_trend,bull_trend,bull_trend,bull_trend,bull,low_volatility,4.3405,21,mined_pool
EX_AND_E_direction_confidence_gte_0.8912_E_direction_confidence_gte_0.6736,(direction_confidence >= 0.8912 AND direction_confidence >= 0.6736),long,bull_trend,bull_trend,bull_trend,bull_trend,bull,low_volatility,4.3405,21,mined_pool
EX_AND_E_direction_confidence_gte_0.8912_E_rank_obs_return_top5_gte_0.125,(direction_confidence >= 0.8912 AND rank_obs_return_top5 >= 0.125),long,bull_trend,bull_trend|strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,4.3405,21,mined_pool|momentum_hybrid
EX_AND_E_direction_confidence_gte_0.8912_E_rank_obs_return_top5_gte_0.25,(direction_confidence >= 0.8912 AND rank_obs_return_top5 >= 0.25),long,bull_trend,bull_trend|strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,4.3405,21,mined_pool|momentum_hybrid
EX_AND_E_direction_confidence_gte_0.8912_E_rank_obs_return_top5_gte_0.375,(direction_confidence >= 0.8912 AND rank_obs_return_top5 >= 0.375),long,bull_trend,bull_trend|strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,4.3405,21,mined_pool|momentum_hybrid
EX_AND_E_direction_confidence_gte_0.8912_E_rank_obs_return_top5_gte_0.5,(direction_confidence >= 0.8912 AND rank_obs_return_top5 >= 0.5),long,bull_trend,bull_trend|strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,4.3405,21,mined_pool|momentum_hybrid
EX_AND_E_direction_confidence_gte_0.8912_E_rank_obs_return_top5_gte_0.625,(direction_confidence >= 0.8912 AND rank_obs_return_top5 >= 0.625),long,bull_trend,bull_trend|strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,4.3405,21,mined_pool|momentum_hybrid
EX_AND_E_direction_confidence_gte_0.8912_E_rank_obs_return_top5_gte_0.75,(direction_confidence >= 0.8912 AND rank_obs_return_top5 >= 0.75),long,bull_trend,bull_trend|strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,4.3405,21,mined_pool|momentum_hybrid
EX_AND_E_direction_confidence_gte_1.0_E_obs_low_pct_gte_-2.914012,(direction_confidence >= 1 AND obs_low_pct >= -2.914),long,bull_trend,bull_trend|reversal,bull_trend,bull_trend|reversal,bull,low_volatility,4.3405,21,mined_pool
EX_AND_E_direction_confidence_gte_1.0_E_execution_score_gte_-0.27795,(direction_confidence >= 1 AND execution_score >= -0.2779),long,bull_trend,bull_trend|execution_aligned,bull_trend,bull_trend|execution_aligned,bull,low_volatility,4.3405,21,mined_pool
EX_AND_E_direction_confidence_gte_1.0_ED_obs_return_pct_gap_to_best_entry_gte_-5.8771,(direction_confidence >= 1 AND (obs_return_pct - gap_to_best_entry) >= -5.877),long,bull_trend,bull_trend|strong_breakout|recovery,bull_trend,bull_trend|recovery|strong_breakout,bull,low_volatility,4.3405,21,mined_pool
EX_AND_E_direction_confidence_gte_1.0_E_pattern_confidence_lte_0.452425,(direction_confidence >= 1 AND pattern_confidence <= 0.4524),long,bull_trend,bull_trend|bull_trend,bull_trend,bull_trend,bull,low_volatility,4.3405,21,mined_pool
EX_AND_E_direction_confidence_gte_1.0_E_pattern_confidence_lte_0.474463,(direction_confidence >= 1 AND pattern_confidence <= 0.4745),long,bull_trend,bull_trend|bull_trend,bull_trend,bull_trend,bull,low_volatility,4.3405,21,mined_pool
EX_AND_E_direction_confidence_gte_1.0_E_obs_body_pct_gte_9.53875,(direction_confidence >= 1 AND obs_body_pct >= 9.539),long,bull_trend,bull_trend,bull_trend,bull_trend,bull,low_volatility,4.3405,21,mined_pool
EX_AND_E_direction_confidence_gte_1.0_E_obs_body_pct_gte_11.448538,(direction_confidence >= 1 AND obs_body_pct >= 11.45),long,bull_trend,bull_trend,bull_trend,bull_trend,bull,low_volatility,4.3405,21,mined_pool
EX_AND_E_direction_confidence_gte_1.0_E_direction_confidence_gte_0.5648,(direction_confidence >= 1 AND direction_confidence >= 0.5648),long,bull_trend,bull_trend,bull_trend,bull_trend,bull,low_volatility,4.3405,21,mined_pool
EX_AND_E_direction_confidence_gte_1.0_E_direction_confidence_gte_0.6736,(direction_confidence >= 1 AND direction_confidence >= 0.6736),long,bull_trend,bull_trend,bull_trend,bull_trend,bull,low_volatility,4.3405,21,mined_pool
EX_AND_E_direction_confidence_gte_1.0_E_rank_obs_return_top5_gte_0.125,(direction_confidence >= 1 AND rank_obs_return_top5 >= 0.125),long,bull_trend,bull_trend|strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,4.3405,21,mined_pool|momentum_hybrid
