formula_id,rounds_total,rounds_beat_baseline,round_win_rate,stability_std,avg_generalization_score,survived
SF_OR_SF_1h_current_return_pct_gte_18.082043_SF_15m_current_return_pct_gte_10.127714,17,17,1.0,1.2221,15.5993,True
SF_AND_SF_30m_current_range_pct_gte_12.1684_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786,17,17,1.0,1.2003,15.5989,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_35.705329_SF_30m_current_range_pct_gte_12.1684,17,17,1.0,1.2233,15.5963,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_35.705329_SR_1h_current_range_pct_5m_compression_15262639999.999996,17,17,1.0,1.2233,15.5963,True
SF_OR_SF_1h_current_ma20_distance_pct_gte_51.022186_SF_30m_previous_ma20_distance_pct_gte_39.165157,17,17,1.0,1.2442,15.595,True
SF_AND_SF_15m_current_ma20_distance_pct_gte_26.750886_SD_1h_current_return_pct_15m_current_return_pct_lte_-12.62842,17,17,1.0,1.2233,15.593,True
SF_AND_SF_15m_current_ma20_distance_pct_gte_26.750886_SF_2h_previous_body_pct_gte_27.479886,17,17,1.0,1.2233,15.593,True
SF_AND_SF_15m_current_ma20_distance_pct_gte_26.750886_SF_2h_previous_body_pct_gte_34.349857,17,17,1.0,1.2233,15.593,True
SF_AND_SF_15m_current_ma20_distance_pct_gte_26.750886_SF_2h_previous_return_pct_gte_26.298514,17,17,1.0,1.2233,15.593,True
SF_AND_SF_15m_current_ma20_distance_pct_gte_26.750886_SR_1h_current_range_pct_5m_compression_15262639999.999996,17,17,1.0,1.2233,15.593,True
SF_AND_SF_2h_previous_body_pct_gte_27.479886_SD_1h_current_return_pct_15m_current_return_pct_lte_-12.62842,17,17,1.0,1.2233,15.593,True
SF_AND_SF_2h_previous_body_pct_gte_34.349857_SD_1h_current_return_pct_15m_current_return_pct_lte_-12.62842,17,17,1.0,1.2233,15.593,True
SF_AND_SF_2h_previous_return_pct_gte_26.298514_SD_1h_current_return_pct_15m_current_return_pct_lte_-12.62842,17,17,1.0,1.2233,15.593,True
SF_AND_SF_30m_previous_ma20_distance_pct_gte_39.165157_SD_1h_current_return_pct_15m_current_return_pct_lte_-12.62842,17,17,1.0,1.2233,15.593,True
SF_AND_SF_15m_current_ma20_distance_pct_gte_17.364729_SF_2h_previous_body_pct_gte_27.479886,17,17,1.0,1.2238,15.5929,True
SF_AND_SF_15m_current_ma20_distance_pct_gte_17.364729_SF_2h_previous_return_pct_gte_26.298514,17,17,1.0,1.2238,15.5929,True
SF_AND_SF_2h_previous_body_pct_gte_34.349857_SF_15m_current_ma20_distance_pct_gte_17.364729,17,17,1.0,1.2238,15.5929,True
SF_AND_SF_2h_previous_body_pct_gte_34.349857_SF_1h_current_ma20_distance_pct_gte_20.388471,17,17,1.0,1.2238,15.5929,True
SF_OR_SF_1h_current_ma20_distance_pct_gte_35.705329_SF_15m_current_ma20_distance_pct_gte_17.364729,17,17,1.0,1.2296,15.5881,True
SF_AND_SF_15m_current_ma20_distance_pct_gte_26.750886_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786,17,17,1.0,1.2409,15.5868,True
SF_AND_SF_15m_current_ma20_distance_pct_gte_26.750886_SF_1h_current_ma20_distance_pct_gte_35.705329,17,17,1.0,1.2409,15.5868,True
SF_AND_SF_15m_current_ma20_distance_pct_gte_26.750886_SF_2h_current_body_pct_gte_13.739943,17,17,1.0,1.2409,15.5868,True
SF_AND_SF_15m_current_ma20_distance_pct_gte_26.750886_SF_2h_current_body_pct_gte_20.609914,17,17,1.0,1.2409,15.5868,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_35.705329_SF_2h_current_body_pct_gte_13.739943,17,17,1.0,1.2409,15.5868,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_35.705329_SF_2h_current_body_pct_gte_20.609914,17,17,1.0,1.2409,15.5868,True
SF_AND_SF_2h_current_body_pct_gte_13.739943_SF_30m_previous_ma20_distance_pct_gte_39.165157,17,17,1.0,1.2409,15.5868,True
SF_AND_SF_2h_current_body_pct_gte_20.609914_SF_30m_previous_ma20_distance_pct_gte_39.165157,17,17,1.0,1.2409,15.5868,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_35.705329_SF_15m_current_ma20_distance_pct_gte_17.364729,17,17,1.0,1.2414,15.5867,True
SF_AND_SF_2h_current_body_pct_gte_13.739943_SF_1h_current_ma20_distance_pct_gte_20.388471,17,17,1.0,1.2259,15.586,True
SF_OR_SF_1h_current_return_pct_gte_8.969214_SF_30m_previous_ma20_distance_pct_gte_39.165157,17,17,1.0,1.2473,15.5854,True
SF_AND3_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114,17,17,1.0,1.2233,15.5785,True
SF_AND3_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094,17,17,1.0,1.2233,15.5785,True
SF_AND3_SF_15m_current_ma20_distance_pct_gte_26.750886,17,17,1.0,1.2233,15.5785,True
SF_AND3_SF_15m_current_return_pct_gte_10.127714,17,17,1.0,1.2233,15.5785,True
SF_AND3_SF_1h_current_ma20_distance_pct_gte_35.705329,17,17,1.0,1.2233,15.5785,True
SF_AND3_SF_1h_current_ma20_distance_pct_gte_51.022186,17,17,1.0,1.2233,15.5785,True
SF_AND3_SF_1h_current_return_pct_gte_18.082043,17,17,1.0,1.2233,15.5785,True
SF_AND3_SF_1h_current_return_pct_gte_8.969214,17,17,1.0,1.2233,15.5785,True
SF_AND3_SF_2h_current_body_pct_gte_20.609914,17,17,1.0,1.2233,15.5785,True
SF_AND3_SF_2h_current_body_pct_gte_27.479886,17,17,1.0,1.2233,15.5785,True
SF_AND3_SF_2h_previous_body_pct_gte_34.349857,17,17,1.0,1.2233,15.5785,True
SF_AND_SD_1h_current_body_pct_1h_previous_body_pct_gte_18.78308_SF_2h_previous_body_pct_gte_27.479886,17,17,1.0,1.2233,15.5785,True
SF_AND_SD_1h_current_body_pct_1h_previous_body_pct_gte_18.78308_SF_2h_previous_return_pct_gte_26.298514,17,17,1.0,1.2233,15.5785,True
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786,17,17,1.0,1.2233,15.5785,True
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_15m_current_ma20_distance_pct_gte_17.364729,17,17,1.0,1.2233,15.5785,True
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_1h_current_ma20_distance_pct_gte_20.388471,17,17,1.0,1.2233,15.5785,True
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_1h_current_ma20_distance_pct_gte_35.705329,17,17,1.0,1.2233,15.5785,True
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_1h_current_ma20_distance_pct_gte_51.022186,17,17,1.0,1.2233,15.5785,True
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_2h_previous_body_pct_gte_27.479886,17,17,1.0,1.2233,15.5785,True
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_2h_previous_body_pct_gte_34.349857,17,17,1.0,1.2233,15.5785,True
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_2h_previous_return_pct_gte_26.298514,17,17,1.0,1.2233,15.5785,True
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114_SF_30m_previous_ma20_distance_pct_gte_39.165157,17,17,1.0,1.2233,15.5785,True
SF_AND_SD_1h_current_range_pct_1h_previous_range_pct_gte_5.76056_SF_2h_previous_body_pct_gte_27.479886,17,17,1.0,1.2233,15.5785,True
