rule_id,rule_expr,scope,signal_count,pass_count,fail_count,precision,recall,f1,lift,odds_ratio,avg_return_2h,avg_return_4h,win_rate_pct,pass_scan_count,total_scan_count,pass_per_scan,pass_per_day,trade_frequency_pct,direction,live_pattern,live_score
AND_ACD,(A AND C AND D),long_LONG_REVERSAL,327,3,324,1.0,0.0492,0.0938,5.3607,13.7586,31.1422,26.0903,100.0,3,159,0.0189,0.2,0.92,long,LONG_REVERSAL,0.2921
AND_BCD,(B AND C AND D),long_LONG_REVERSAL,327,3,324,1.0,0.0492,0.0938,5.3607,13.7586,31.1422,26.0903,100.0,3,159,0.0189,0.2,0.92,long,LONG_REVERSAL,0.2921
AND_ABCD,(A AND B AND C AND D),long_LONG_REVERSAL,327,3,324,1.0,0.0492,0.0938,5.3607,13.7586,31.1422,26.0903,100.0,3,159,0.0189,0.2,0.92,long,LONG_REVERSAL,0.2921
OR_ABC_D,((A AND B AND C) OR D),long_LONG_REVERSAL,327,4,323,1.0,0.0656,0.1231,5.3607,18.6667,27.6262,22.6284,100.0,4,159,0.0252,0.2667,1.22,long,LONG_REVERSAL,0.3062
OR_ABD_C,((A AND B AND D) OR C),long_LONG_REVERSAL,327,5,322,1.0,0.082,0.1515,5.3607,23.75,27.2493,21.5473,100.0,5,159,0.0314,0.3333,1.53,long,LONG_REVERSAL,0.3202
OR_AB_CD,((A AND B) OR (C AND D)),long_LONG_REVERSAL,327,6,321,0.8333,0.082,0.1493,4.4672,23.6607,22.3308,22.5772,100.0,6,159,0.0377,0.4,1.83,long,LONG_REVERSAL,-1.0
OR_AB_C_D,((A AND B) OR C OR D),long_LONG_REVERSAL,327,7,320,0.8571,0.0984,0.1765,4.5948,28.9091,22.8181,21.8123,100.0,7,159,0.044,0.4667,2.14,long,LONG_REVERSAL,-1.0
OR_ACD_B,((A AND C AND D) OR B),long_LONG_REVERSAL,327,12,315,0.8333,0.1639,0.274,4.4672,51.7647,19.547,19.0274,100.0,12,159,0.0755,0.8,3.67,long,LONG_REVERSAL,-1.0
OR_AC_BD,((A AND C) OR (B AND D)),long_LONG_REVERSAL,327,4,323,1.0,0.0656,0.1231,5.3607,18.6667,27.6262,22.6284,100.0,4,159,0.0252,0.2667,1.22,long,LONG_REVERSAL,0.3062
OR_AC_B_D,((A AND C) OR B OR D),long_LONG_REVERSAL,327,12,315,0.8333,0.1639,0.274,4.4672,51.7647,19.547,19.0274,100.0,12,159,0.0755,0.8,3.67,long,LONG_REVERSAL,-1.0
OR_AD_BC,((A AND D) OR (B AND C)),long_LONG_REVERSAL,327,5,322,1.0,0.082,0.1515,5.3607,23.75,27.2493,21.5473,100.0,5,159,0.0314,0.3333,1.53,long,LONG_REVERSAL,0.3202
OR_A_BCD,(A OR (B AND C AND D)),long_LONG_REVERSAL,327,6,321,0.8333,0.082,0.1493,4.4672,23.6607,22.3308,22.5772,100.0,6,159,0.0377,0.4,1.83,long,LONG_REVERSAL,-1.0
OR_A_BC_D,(A OR (B AND C) OR D),long_LONG_REVERSAL,327,7,320,0.8571,0.0984,0.1765,4.5948,28.9091,22.8181,21.8123,100.0,7,159,0.044,0.4667,2.14,long,LONG_REVERSAL,-1.0
OR_AD_B_C,((A AND D) OR B OR C),long_LONG_REVERSAL,327,12,315,0.8333,0.1639,0.274,4.4672,51.7647,19.547,19.0274,100.0,12,159,0.0755,0.8,3.67,long,LONG_REVERSAL,-1.0
OR_A_BD_C,(A OR (B AND D) OR C),long_LONG_REVERSAL,327,7,320,0.8571,0.0984,0.1765,4.5948,28.9091,22.8181,21.8123,100.0,7,159,0.044,0.4667,2.14,long,LONG_REVERSAL,-1.0
OR_A_B_CD,(A OR B OR (C AND D)),long_LONG_REVERSAL,327,12,315,0.8333,0.1639,0.274,4.4672,51.7647,19.547,19.0274,100.0,12,159,0.0755,0.8,3.67,long,LONG_REVERSAL,-1.0
OR_A_B_C_D,(A OR B OR C OR D),long_LONG_REVERSAL,327,12,315,0.8333,0.1639,0.274,4.4672,51.7647,19.547,19.0274,100.0,12,159,0.0755,0.8,3.67,long,LONG_REVERSAL,-1.0
AND_A,A,long_LONG_BREAKOUT,312,13,299,0.9231,0.1765,0.2963,4.2353,52.0714,29.6159,32.3895,92.31,13,150,0.0867,0.8667,4.17,long,LONG_BREAKOUT,0.3969
AND_B,B,long_LONG_BREAKOUT,312,16,296,0.9375,0.2206,0.3571,4.3015,68.7736,27.0379,29.5664,93.75,16,150,0.1067,1.0667,5.13,long,LONG_BREAKOUT,0.4403
AND_C,C,long_LONG_BREAKOUT,312,8,304,0.75,0.0882,0.1579,3.4412,23.4194,22.5883,19.721,87.5,8,150,0.0533,0.5333,2.56,long,LONG_BREAKOUT,-1.0
AND_D,D,long_LONG_BREAKOUT,312,21,291,0.7619,0.2353,0.3596,3.4958,36.7692,21.6365,21.6648,85.71,19,150,0.14,1.4,6.73,long,LONG_BREAKOUT,-1.0
AND_AB,(A AND B),long_LONG_BREAKOUT,312,13,299,0.9231,0.1765,0.2963,4.2353,52.0714,29.6159,32.3895,92.31,13,150,0.0867,0.8667,4.17,long,LONG_BREAKOUT,0.3969
AND_AC,(A AND C),long_LONG_BREAKOUT,312,5,307,1.0,0.0735,0.137,4.5882,19.3651,35.1811,36.0259,100.0,5,150,0.0333,0.3333,1.6,long,LONG_BREAKOUT,0.3164
AND_AD,(A AND D),long_LONG_BREAKOUT,312,12,300,0.9167,0.1618,0.275,4.2059,46.8947,30.4834,32.4743,91.67,12,150,0.08,0.8,3.85,long,LONG_BREAKOUT,0.382
AND_BC,(B AND C),long_LONG_BREAKOUT,312,5,307,1.0,0.0735,0.137,4.5882,19.3651,35.1811,36.0259,100.0,5,150,0.0333,0.3333,1.6,long,LONG_BREAKOUT,0.3164
AND_BD,(B AND D),long_LONG_BREAKOUT,312,14,298,0.9286,0.1912,0.3171,4.2605,57.4364,28.173,30.302,92.86,14,150,0.0933,0.9333,4.49,long,LONG_BREAKOUT,0.4115
AND_CD,(C AND D),long_LONG_BREAKOUT,312,6,306,0.8333,0.0735,0.1351,3.8235,19.2857,27.4277,26.0758,83.33,6,150,0.04,0.4,1.92,long,LONG_BREAKOUT,-1.0
AND_ABC,(A AND B AND C),long_LONG_BREAKOUT,312,5,307,1.0,0.0735,0.137,4.5882,19.3651,35.1811,36.0259,100.0,5,150,0.0333,0.3333,1.6,long,LONG_BREAKOUT,0.3164
AND_ABD,(A AND B AND D),long_LONG_BREAKOUT,312,12,300,0.9167,0.1618,0.275,4.2059,46.8947,30.4834,32.4743,91.67,12,150,0.08,0.8,3.85,long,LONG_BREAKOUT,0.382
AND_ACD,(A AND C AND D),long_LONG_BREAKOUT,312,5,307,1.0,0.0735,0.137,4.5882,19.3651,35.1811,36.0259,100.0,5,150,0.0333,0.3333,1.6,long,LONG_BREAKOUT,0.3164
AND_BCD,(B AND C AND D),long_LONG_BREAKOUT,312,5,307,1.0,0.0735,0.137,4.5882,19.3651,35.1811,36.0259,100.0,5,150,0.0333,0.3333,1.6,long,LONG_BREAKOUT,0.3164
AND_ABCD,(A AND B AND C AND D),long_LONG_BREAKOUT,312,5,307,1.0,0.0735,0.137,4.5882,19.3651,35.1811,36.0259,100.0,5,150,0.0333,0.3333,1.6,long,LONG_BREAKOUT,0.3164
OR_ABC_D,((A AND B AND C) OR D),long_LONG_BREAKOUT,312,21,291,0.7619,0.2353,0.3596,3.4958,36.7692,21.6365,21.6648,85.71,19,150,0.14,1.4,6.73,long,LONG_BREAKOUT,-1.0
OR_ABD_C,((A AND B AND D) OR C),long_LONG_BREAKOUT,312,15,297,0.8,0.1765,0.2892,3.6706,25.8214,24.7068,24.4886,86.67,15,150,0.1,1.0,4.81,long,LONG_BREAKOUT,-1.0
OR_AB_CD,((A AND B) OR (C AND D)),long_LONG_BREAKOUT,312,14,298,0.8571,0.1765,0.2927,3.9328,25.9286,26.6905,28.3849,85.71,14,150,0.0933,0.9333,4.49,long,LONG_BREAKOUT,-1.0
OR_AB_C_D,((A AND B) OR C OR D),long_LONG_BREAKOUT,312,24,288,0.75,0.2647,0.3913,3.4412,42.84,20.4047,20.3186,87.5,22,150,0.16,1.6,7.69,long,LONG_BREAKOUT,-1.0
OR_ACD_B,((A AND C AND D) OR B),long_LONG_BREAKOUT,312,16,296,0.9375,0.2206,0.3571,4.3015,68.7736,27.0379,29.5664,93.75,16,150,0.1067,1.0667,5.13,long,LONG_BREAKOUT,0.4403
OR_AC_BD,((A AND C) OR (B AND D)),long_LONG_BREAKOUT,312,14,298,0.9286,0.1912,0.3171,4.2605,57.4364,28.173,30.302,92.86,14,150,0.0933,0.9333,4.49,long,LONG_BREAKOUT,0.4115
OR_AC_B_D,((A AND C) OR B OR D),long_LONG_BREAKOUT,312,23,289,0.7826,0.2647,0.3956,3.5908,43.02,21.4153,21.9042,86.96,21,150,0.1533,1.5333,7.37,long,LONG_BREAKOUT,-1.0
OR_AD_BC,((A AND D) OR (B AND C)),long_LONG_BREAKOUT,312,12,300,0.9167,0.1618,0.275,4.2059,46.8947,30.4834,32.4743,91.67,12,150,0.08,0.8,3.85,long,LONG_BREAKOUT,0.382
